class,order,family,genus,species,subspecies,common_name,female_maturity_d,adult_body_mass_g,maximum_longevity_y,C,C_E,E_alpha,I,taxaname,I_m,log_bodymass,log_C_E,log_I_m,log_E_alpha,Species,Age_at_maturity_avg_y
Mammalia,Primates,Cebidae,Saguinus,nigricollis,NA,Black-mantled Tamarin,850.45,450,20.2,2.03,36.27609999999999,7.669527896995708,175,Saguinus_nigricollis,0.3888888888888889,6.1092475827643655,3.5911591222250325,-0.9444616088408514,2.0372550615937275,NA,NA
Mammalia,Primates,Cercopithecidae,Cercocebus,agilis,NA,Agile Mangabey,1535.9868,7775,46,0.26514469453376205,11.080878548843765,9.931083522332354,2170,Cercocebus_agilis,0.2790996784565916,8.958668737047434,2.405220969587632,-1.2761862905129298,2.295669588149913,NA,NA
Mammalia,Primates,Cercopithecidae,Cercocebus,chrysogaster,NA,Golden-bellied Mangabey,1535.9868,7775,46,0.26514469453376205,11.080878548843765,9.931083522332354,2170,Cercocebus_chrysogaster,0.2790996784565916,8.958668737047434,2.405220969587632,-1.2761862905129298,2.295669588149913,NA,NA
Mammalia,Primates,Cercopithecidae,Chlorocebus,aethiops,NA,Grivet,1318.86,5104.25,46,0.20301709359847186,8.605221582068664,11.730691657947016,1036.25,Chlorocebus_aethiops,0.20301709359847186,8.537828805016309,2.1523691797176343,-1.5944650985668043,2.4622086257988927,NA,NA
Mammalia,Primates,Cercopithecidae,Chlorocebus,cynosuros,NA,Malbrouck,1318.86,5104.25,46,0.20301709359847186,8.605221582068664,11.730691657947016,1036.25,Chlorocebus_cynosuros,0.20301709359847186,8.537828805016309,2.1523691797176343,-1.5944650985668043,2.4622086257988927,NA,NA
Mammalia,Primates,Cercopithecidae,Chlorocebus,djamdjamensis,NA,Bale Mountains Vervet,1318.86,5104.25,46,0.20301709359847186,8.605221582068664,11.730691657947016,1036.25,Chlorocebus_djamdjamensis,0.20301709359847186,8.537828805016309,2.1523691797176343,-1.5944650985668043,2.4622086257988927,NA,NA
Mammalia,Primates,Cercopithecidae,Chlorocebus,pygerythrus,NA,Vervet Monkey,1318.86,5104.25,46,0.20301709359847186,8.605221582068664,11.730691657947016,1036.25,Chlorocebus_pygerythrus,0.20301709359847186,8.537828805016309,2.1523691797176343,-1.5944650985668043,2.4622086257988927,NA,NA
Mammalia,Primates,Cercopithecidae,Chlorocebus,sabaeus,NA,Green Monkey,1318.86,5104.25,46,0.20301709359847186,8.605221582068664,11.730691657947016,1036.25,Chlorocebus_sabaeus,0.20301709359847186,8.537828805016309,2.1523691797176343,-1.5944650985668043,2.4622086257988927,NA,NA
Mammalia,Primates,Cercopithecidae,Colobus,polykomos,NA,King Colobus,1642,8653.145,33.9,0.08598029964827816,2.527938590891773,6.535627283800244,1240,Colobus_polykomos,0.14330049941379694,9.065678117660376,0.9274041844119444,-1.9428114590612928,1.8772683308093459,NA,NA
Mammalia,Primates,Cercopithecidae,Colobus,satanas,NA,Black Colobus,1642,8653.145,33.9,0.08598029964827816,2.527938590891773,6.535627283800244,1240,Colobus_satanas,0.14330049941379694,9.065678117660376,0.9274041844119444,-1.9428114590612928,1.8772683308093459,NA,NA
